,DATE,PLACE,PLOT,VALUE,MONTH
33315,2004-02-01,"Windsor, Ontario",Total (house and land),93.2,2
33318,2004-02-01,"Greater Sudbury, Ontario",Total (house and land),84.1,2
33327,2004-02-01,"Winnipeg, Manitoba",Total (house and land),50.2,2
33333,2004-02-01,"Regina, Saskatchewan",Total (house and land),43.9,2
33336,2004-02-01,"Saskatoon, Saskatchewan",Total (house and land),50.5,2
33342,2004-02-01,"Calgary, Alberta",Total (house and land),50.2,2
33345,2004-02-01,"Edmonton, Alberta",Total (house and land),59.4,2
33351,2004-02-01,"Kelowna, British Columbia",Total (house and land),,2
33354,2004-02-01,"Vancouver, British Columbia",Total (house and land),80.2,2
33357,2004-02-01,"Victoria, British Columbia",Total (house and land),98.7,2
33366,2004-03-01,Newfoundland and Labrador,Total (house and land),56.0,3
33369,2004-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),56.0,3
33372,2004-03-01,Prince Edward Island,Total (house and land),89.8,3
33375,2004-03-01,"Charlottetown, Prince Edward Island",Total (house and land),89.8,3
33381,2004-03-01,"Halifax, Nova Scotia",Total (house and land),73.2,3
33387,2004-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.8,3
33393,2004-03-01,"Québec, Quebec",Total (house and land),70.8,3
33396,2004-03-01,"Sherbrooke, Quebec",Total (house and land),,3
33399,2004-03-01,"Trois-Rivières, Quebec",Total (house and land),,3
33402,2004-03-01,"Montréal, Quebec",Total (house and land),72.1,3
33405,2004-03-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,3
33411,2004-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),77.5,3
33414,2004-03-01,"Oshawa, Ontario",Total (house and land),,3
33417,2004-03-01,"Toronto, Ontario",Total (house and land),63.2,3
33420,2004-03-01,"Hamilton, Ontario",Total (house and land),69.6,3
33423,2004-03-01,"St. Catharines-Niagara, Ontario",Total (house and land),68.6,3
33426,2004-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),73.7,3
33429,2004-03-01,"Guelph, Ontario",Total (house and land),,3
33432,2004-03-01,"London, Ontario",Total (house and land),72.8,3
33435,2004-03-01,"Windsor, Ontario",Total (house and land),93.2,3
33438,2004-03-01,"Greater Sudbury, Ontario",Total (house and land),84.1,3
33447,2004-03-01,"Winnipeg, Manitoba",Total (house and land),50.9,3
33453,2004-03-01,"Regina, Saskatchewan",Total (house and land),44.1,3
33456,2004-03-01,"Saskatoon, Saskatchewan",Total (house and land),51.1,3
33462,2004-03-01,"Calgary, Alberta",Total (house and land),50.5,3
33465,2004-03-01,"Edmonton, Alberta",Total (house and land),59.5,3
33471,2004-03-01,"Kelowna, British Columbia",Total (house and land),,3
33474,2004-03-01,"Vancouver, British Columbia",Total (house and land),80.6,3
33477,2004-03-01,"Victoria, British Columbia",Total (house and land),99.7,3
33486,2004-04-01,Newfoundland and Labrador,Total (house and land),56.2,4
33489,2004-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),56.2,4
33492,2004-04-01,Prince Edward Island,Total (house and land),89.8,4
33495,2004-04-01,"Charlottetown, Prince Edward Island",Total (house and land),89.8,4
33501,2004-04-01,"Halifax, Nova Scotia",Total (house and land),73.2,4
33507,2004-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.8,4
33513,2004-04-01,"Québec, Quebec",Total (house and land),71.3,4
33516,2004-04-01,"Sherbrooke, Quebec",Total (house and land),,4
33519,2004-04-01,"Trois-Rivières, Quebec",Total (house and land),,4
33522,2004-04-01,"Montréal, Quebec",Total (house and land),72.8,4
33525,2004-04-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,4
33531,2004-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),78.5,4
33534,2004-04-01,"Oshawa, Ontario",Total (house and land),,4
33537,2004-04-01,"Toronto, Ontario",Total (house and land),63.9,4
33540,2004-04-01,"Hamilton, Ontario",Total (house and land),70.2,4
33543,2004-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),69.4,4
33546,2004-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),74.8,4
33549,2004-04-01,"Guelph, Ontario",Total (house and land),,4
33552,2004-04-01,"London, Ontario",Total (house and land),72.8,4
33555,2004-04-01,"Windsor, Ontario",Total (house and land),93.2,4
33558,2004-04-01,"Greater Sudbury, Ontario",Total (house and land),83.7,4
33567,2004-04-01,"Winnipeg, Manitoba",Total (house and land),51.1,4
33573,2004-04-01,"Regina, Saskatchewan",Total (house and land),44.6,4
33576,2004-04-01,"Saskatoon, Saskatchewan",Total (house and land),51.1,4
33582,2004-04-01,"Calgary, Alberta",Total (house and land),50.7,4
33585,2004-04-01,"Edmonton, Alberta",Total (house and land),59.8,4
33591,2004-04-01,"Kelowna, British Columbia",Total (house and land),,4
33594,2004-04-01,"Vancouver, British Columbia",Total (house and land),80.9,4
33597,2004-04-01,"Victoria, British Columbia",Total (house and land),100.8,4
33606,2004-05-01,Newfoundland and Labrador,Total (house and land),56.8,5
33609,2004-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),56.8,5
33612,2004-05-01,Prince Edward Island,Total (house and land),90.2,5
33615,2004-05-01,"Charlottetown, Prince Edward Island",Total (house and land),90.2,5
33621,2004-05-01,"Halifax, Nova Scotia",Total (house and land),73.6,5
33627,2004-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),83.0,5
33633,2004-05-01,"Québec, Quebec",Total (house and land),71.8,5
33636,2004-05-01,"Sherbrooke, Quebec",Total (house and land),,5
33639,2004-05-01,"Trois-Rivières, Quebec",Total (house and land),,5
33642,2004-05-01,"Montréal, Quebec",Total (house and land),73.2,5
33645,2004-05-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,5
33651,2004-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),78.9,5
33654,2004-05-01,"Oshawa, Ontario",Total (house and land),,5
33657,2004-05-01,"Toronto, Ontario",Total (house and land),64.6,5
33660,2004-05-01,"Hamilton, Ontario",Total (house and land),71.3,5
33663,2004-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),69.1,5
33666,2004-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),74.8,5
33669,2004-05-01,"Guelph, Ontario",Total (house and land),,5
33672,2004-05-01,"London, Ontario",Total (house and land),72.8,5
33675,2004-05-01,"Windsor, Ontario",Total (house and land),93.2,5
33678,2004-05-01,"Greater Sudbury, Ontario",Total (house and land),84.4,5
33687,2004-05-01,"Winnipeg, Manitoba",Total (house and land),51.4,5
33693,2004-05-01,"Regina, Saskatchewan",Total (house and land),45.0,5
33696,2004-05-01,"Saskatoon, Saskatchewan",Total (house and land),51.1,5
33702,2004-05-01,"Calgary, Alberta",Total (house and land),50.9,5
33705,2004-05-01,"Edmonton, Alberta",Total (house and land),60.1,5
33711,2004-05-01,"Kelowna, British Columbia",Total (house and land),,5
33714,2004-05-01,"Vancouver, British Columbia",Total (house and land),81.6,5
33717,2004-05-01,"Victoria, British Columbia",Total (house and land),101.5,5
33726,2004-06-01,Newfoundland and Labrador,Total (house and land),57.2,6
33729,2004-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),57.2,6
33732,2004-06-01,Prince Edward Island,Total (house and land),90.2,6
33735,2004-06-01,"Charlottetown, Prince Edward Island",Total (house and land),90.2,6
33741,2004-06-01,"Halifax, Nova Scotia",Total (house and land),73.6,6
33747,2004-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),83.5,6
33753,2004-06-01,"Québec, Quebec",Total (house and land),71.8,6
33756,2004-06-01,"Sherbrooke, Quebec",Total (house and land),,6
33759,2004-06-01,"Trois-Rivières, Quebec",Total (house and land),,6
33762,2004-06-01,"Montréal, Quebec",Total (house and land),73.3,6
33765,2004-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,6
33771,2004-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),79.8,6
33774,2004-06-01,"Oshawa, Ontario",Total (house and land),,6
33777,2004-06-01,"Toronto, Ontario",Total (house and land),65.2,6
33780,2004-06-01,"Hamilton, Ontario",Total (house and land),71.8,6
33783,2004-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),71.1,6
33786,2004-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),75.4,6
33789,2004-06-01,"Guelph, Ontario",Total (house and land),,6
33792,2004-06-01,"London, Ontario",Total (house and land),73.1,6
33795,2004-06-01,"Windsor, Ontario",Total (house and land),93.2,6
33798,2004-06-01,"Greater Sudbury, Ontario",Total (house and land),84.2,6
33807,2004-06-01,"Winnipeg, Manitoba",Total (house and land),53.4,6
33813,2004-06-01,"Regina, Saskatchewan",Total (house and land),45.3,6
33816,2004-06-01,"Saskatoon, Saskatchewan",Total (house and land),52.1,6
33822,2004-06-01,"Calgary, Alberta",Total (house and land),51.2,6
33825,2004-06-01,"Edmonton, Alberta",Total (house and land),60.5,6
33831,2004-06-01,"Kelowna, British Columbia",Total (house and land),,6
33834,2004-06-01,"Vancouver, British Columbia",Total (house and land),81.7,6
33837,2004-06-01,"Victoria, British Columbia",Total (house and land),102.1,6
33846,2004-07-01,Newfoundland and Labrador,Total (house and land),57.9,7
33849,2004-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),57.9,7
33852,2004-07-01,Prince Edward Island,Total (house and land),90.2,7
33855,2004-07-01,"Charlottetown, Prince Edward Island",Total (house and land),90.2,7
33861,2004-07-01,"Halifax, Nova Scotia",Total (house and land),73.6,7
33867,2004-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),83.4,7
33873,2004-07-01,"Québec, Quebec",Total (house and land),71.8,7
33876,2004-07-01,"Sherbrooke, Quebec",Total (house and land),,7
33879,2004-07-01,"Trois-Rivières, Quebec",Total (house and land),,7
33882,2004-07-01,"Montréal, Quebec",Total (house and land),73.3,7
33885,2004-07-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,7
33891,2004-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),79.9,7
33894,2004-07-01,"Oshawa, Ontario",Total (house and land),,7
33897,2004-07-01,"Toronto, Ontario",Total (house and land),65.2,7
33900,2004-07-01,"Hamilton, Ontario",Total (house and land),72.1,7
33903,2004-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),71.7,7
33906,2004-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),75.3,7
33909,2004-07-01,"Guelph, Ontario",Total (house and land),,7
33912,2004-07-01,"London, Ontario",Total (house and land),73.3,7
33915,2004-07-01,"Windsor, Ontario",Total (house and land),93.3,7
33918,2004-07-01,"Greater Sudbury, Ontario",Total (house and land),84.4,7
33927,2004-07-01,"Winnipeg, Manitoba",Total (house and land),53.4,7
33933,2004-07-01,"Regina, Saskatchewan",Total (house and land),45.4,7
33936,2004-07-01,"Saskatoon, Saskatchewan",Total (house and land),52.1,7
33942,2004-07-01,"Calgary, Alberta",Total (house and land),51.3,7
33945,2004-07-01,"Edmonton, Alberta",Total (house and land),60.6,7
33951,2004-07-01,"Kelowna, British Columbia",Total (house and land),,7
33954,2004-07-01,"Vancouver, British Columbia",Total (house and land),81.8,7
33957,2004-07-01,"Victoria, British Columbia",Total (house and land),102.9,7
33966,2004-08-01,Newfoundland and Labrador,Total (house and land),58.3,8
33969,2004-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),58.3,8
33972,2004-08-01,Prince Edward Island,Total (house and land),90.6,8
33975,2004-08-01,"Charlottetown, Prince Edward Island",Total (house and land),90.6,8
33981,2004-08-01,"Halifax, Nova Scotia",Total (house and land),73.6,8
33987,2004-08-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),84.3,8
33993,2004-08-01,"Québec, Quebec",Total (house and land),72.2,8
33996,2004-08-01,"Sherbrooke, Quebec",Total (house and land),,8
33999,2004-08-01,"Trois-Rivières, Quebec",Total (house and land),,8
34002,2004-08-01,"Montréal, Quebec",Total (house and land),74.0,8
34005,2004-08-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,8
34011,2004-08-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),80.4,8
34014,2004-08-01,"Oshawa, Ontario",Total (house and land),,8
34017,2004-08-01,"Toronto, Ontario",Total (house and land),65.5,8
34020,2004-08-01,"Hamilton, Ontario",Total (house and land),72.1,8
34023,2004-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),71.8,8
34026,2004-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),75.5,8
34029,2004-08-01,"Guelph, Ontario",Total (house and land),,8
34032,2004-08-01,"London, Ontario",Total (house and land),73.4,8
34035,2004-08-01,"Windsor, Ontario",Total (house and land),93.9,8
34038,2004-08-01,"Greater Sudbury, Ontario",Total (house and land),84.6,8
34047,2004-08-01,"Winnipeg, Manitoba",Total (house and land),53.4,8
34053,2004-08-01,"Regina, Saskatchewan",Total (house and land),45.6,8
34056,2004-08-01,"Saskatoon, Saskatchewan",Total (house and land),52.1,8
34062,2004-08-01,"Calgary, Alberta",Total (house and land),51.5,8
34065,2004-08-01,"Edmonton, Alberta",Total (house and land),60.7,8
34071,2004-08-01,"Kelowna, British Columbia",Total (house and land),,8
34074,2004-08-01,"Vancouver, British Columbia",Total (house and land),82.3,8
34077,2004-08-01,"Victoria, British Columbia",Total (house and land),104.0,8
34086,2004-09-01,Newfoundland and Labrador,Total (house and land),58.5,9
34089,2004-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),58.5,9
34092,2004-09-01,Prince Edward Island,Total (house and land),90.6,9
34095,2004-09-01,"Charlottetown, Prince Edward Island",Total (house and land),90.6,9
34101,2004-09-01,"Halifax, Nova Scotia",Total (house and land),73.6,9
34107,2004-09-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),84.3,9
34113,2004-09-01,"Québec, Quebec",Total (house and land),72.2,9
34116,2004-09-01,"Sherbrooke, Quebec",Total (house and land),,9
34119,2004-09-01,"Trois-Rivières, Quebec",Total (house and land),,9
34122,2004-09-01,"Montréal, Quebec",Total (house and land),74.6,9
34125,2004-09-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,9
34131,2004-09-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),80.4,9
34134,2004-09-01,"Oshawa, Ontario",Total (house and land),,9
34137,2004-09-01,"Toronto, Ontario",Total (house and land),65.6,9
34140,2004-09-01,"Hamilton, Ontario",Total (house and land),72.6,9
34143,2004-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),72.5,9
34146,2004-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),75.9,9
34149,2004-09-01,"Guelph, Ontario",Total (house and land),,9
34152,2004-09-01,"London, Ontario",Total (house and land),73.5,9
34155,2004-09-01,"Windsor, Ontario",Total (house and land),94.0,9
34158,2004-09-01,"Greater Sudbury, Ontario",Total (house and land),84.8,9
34167,2004-09-01,"Winnipeg, Manitoba",Total (house and land),53.8,9
34173,2004-09-01,"Regina, Saskatchewan",Total (house and land),46.1,9
34176,2004-09-01,"Saskatoon, Saskatchewan",Total (house and land),53.9,9
34182,2004-09-01,"Calgary, Alberta",Total (house and land),51.7,9
34185,2004-09-01,"Edmonton, Alberta",Total (house and land),61.1,9
34191,2004-09-01,"Kelowna, British Columbia",Total (house and land),,9
34194,2004-09-01,"Vancouver, British Columbia",Total (house and land),82.4,9
34197,2004-09-01,"Victoria, British Columbia",Total (house and land),104.3,9
34206,2004-10-01,Newfoundland and Labrador,Total (house and land),58.5,10
34209,2004-10-01,"St. John's, Newfoundland and Labrador",Total (house and land),58.5,10
34212,2004-10-01,Prince Edward Island,Total (house and land),91.3,10
34215,2004-10-01,"Charlottetown, Prince Edward Island",Total (house and land),91.3,10
34221,2004-10-01,"Halifax, Nova Scotia",Total (house and land),73.6,10
34227,2004-10-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),84.5,10
34233,2004-10-01,"Québec, Quebec",Total (house and land),72.4,10
34236,2004-10-01,"Sherbrooke, Quebec",Total (house and land),,10
34239,2004-10-01,"Trois-Rivières, Quebec",Total (house and land),,10
34242,2004-10-01,"Montréal, Quebec",Total (house and land),75.1,10
34245,2004-10-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,10
34251,2004-10-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),80.9,10
34254,2004-10-01,"Oshawa, Ontario",Total (house and land),,10
34257,2004-10-01,"Toronto, Ontario",Total (house and land),65.7,10
34260,2004-10-01,"Hamilton, Ontario",Total (house and land),73.0,10
34263,2004-10-01,"St. Catharines-Niagara, Ontario",Total (house and land),72.7,10
34266,2004-10-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),76.9,10
34269,2004-10-01,"Guelph, Ontario",Total (house and land),,10
34272,2004-10-01,"London, Ontario",Total (house and land),73.7,10
34275,2004-10-01,"Windsor, Ontario",Total (house and land),94.0,10
34278,2004-10-01,"Greater Sudbury, Ontario",Total (house and land),84.7,10
34287,2004-10-01,"Winnipeg, Manitoba",Total (house and land),53.8,10
34293,2004-10-01,"Regina, Saskatchewan",Total (house and land),46.2,10
34296,2004-10-01,"Saskatoon, Saskatchewan",Total (house and land),53.9,10
